area,direction,district,house,price,traffic,type
108㎡,朝南,松江,三湘四季花城 3室2厅 南/北,5500,177,3室2厅1卫
130㎡,朝南,松江,万科白马花园(公寓) 3室2厅 南,6500,0,3室2厅2卫
82㎡,朝南,松江,华亭荣园 2室2厅 南,2800,0,2室2厅1卫
71㎡,朝西,松江,新凯城钟秀苑 2室1厅 西,4000,0,2室1厅1卫
95㎡,朝南,松江,绿地蔷薇九里(别墅) 3室2厅 南,10000,739,3室2厅2卫
76㎡,朝南,松江,万科白马花园(公寓) 2室2厅 南,4400,0,2室2厅1卫
164㎡,朝南,松江,合生国际花园 3室2厅 南,4000,0,3室2厅3卫
102㎡,朝南,松江,祥和花苑(公寓) 2室1厅 南,4500,603,2室1厅1卫
123㎡,朝南,松江,祥和花苑(公寓) 2室2厅 南,4800,603,2室2厅2卫
129㎡,朝南,松江,上坤旭辉墅 3室2厅 南,5000,0,3室2厅3卫
289㎡,朝南,松江,山语原墅 4室2厅 南,9000,972,4室2厅4卫
55㎡,朝南,松江,同润菲诗艾伦 1室1厅 南,2800,0,1室1厅1卫
84㎡,朝南,松江,新凯城尚樱苑 3室2厅 南/北,4000,0,3室2厅1卫
120㎡,朝南,松江,新城上坤樾山四季 3室2厅 南,7000,0,3室2厅2卫
69㎡,朝南,松江,塘和家园君康苑 2室1厅 南/北,2000,0,2室1厅1卫
238㎡,朝南,松江,三盛颐景园(别墅) 6室2厅 南/北,15000,0,6室2厅3卫
91㎡,朝东南,松江,同济城市雅筑 2室2厅 东南/南,5500,0,2室2厅1卫
135㎡,朝南,松江,茸联苑 3室2厅 南/北,5000,0,3室2厅2卫
59㎡,朝南,松江,英伦风尚(公寓) 3室1厅 南,7300,0,3室1厅2卫
123㎡,朝南,松江,金丰蓝庭 2室2厅 南,7000,0,2室2厅2卫
124㎡,朝南,松江,上海源花城 3室2厅 南,6600,0,3室2厅2卫
106㎡,朝南,松江,爱丽雅花苑 2室2厅 南,3800,0,2室2厅2卫
171㎡,朝南,松江,鼓浪路259弄 4室1厅 南,6000,0,4室1厅2卫
197㎡,朝南,松江,建设花园 4室3厅 南,10000,548,4室3厅3卫
99㎡,朝南,松江,绿庭悦公馆 3室2厅 南,7300,956,3室2厅2卫
124㎡,朝南,浦东,爱家亚洲花园 3室2厅 南/北,9800,0,3室2厅2卫
128㎡,朝南,浦东,今达花园 3室2厅 南,10000,50,3室2厅2卫
84㎡,朝南,浦东,整租·东升家园(三期) 2室1厅 南,3000,822,2室1厅1卫
51㎡,朝南,浦东,整租·四季全景台 1室1厅 南,9000,518,1室1厅1卫
55㎡,朝南,浦东,整租·东园三村 2室1厅 南/北,7500,86,2室1厅1卫
62㎡,朝南,浦东,云树雅居 1室1厅 南,1200,0,1室1厅1卫
164㎡,朝南,浦东,整租·碧云新天地(一期) 3室3厅 南,20000,40,3室3厅3卫
123㎡,朝南,浦东,东方鸿璟 3室2厅 南,4500,855,3室2厅1卫
151㎡,朝南,浦东,整租·天科苑 3室2厅 南,13000,1149,3室2厅2卫
87㎡,朝南,浦东,双秀西园 2室1厅 南/北,3800,0,2室1厅1卫
51㎡,朝南,浦东,新高苑(一期) 1室1厅 南,3200,1079,1室1厅1卫
147㎡,朝南,浦东,古北御庭 3室2厅 南,18000,737,3室2厅2卫
53㎡,朝南,浦东,竹园新村(浦东) 2室1厅 南,7500,191,2室1厅1卫
89㎡,朝南,浦东,中海御景熙岸(公寓) 3室1厅 南/北,6000,0,3室1厅1卫
43㎡,朝南,浦东,梅园五街坊 1室1厅 南,5200,335,1室1厅1卫
89㎡,朝南,浦东,金缘坊 2室2厅 南,7000,1010,2室2厅1卫
102㎡,朝南,浦东,浦江东旭公寓626弄 3室1厅 南/北,6200,0,3室1厅1卫
93㎡,朝南,浦东,维多利华庭 2室2厅 南,9500,740,2室2厅1卫
117㎡,朝南,浦东,整租·百晨小区 3室2厅 南,5800,0,3室2厅2卫
80㎡,朝南,浦东,东亚阳光里 2室2厅 南/北,2500,0,2室2厅1卫
105㎡,朝南,浦东,整租·怡东花园(公寓) 2室2厅 南/北,11000,281,2室2厅2卫
84㎡,朝南,浦东,汇福家园健康里 2室1厅 南,3200,0,2室1厅1卫
97㎡,朝南,浦东,整租·环龙新纪园 2室2厅 南,8600,351,2室2厅1卫
59㎡,朝南,浦东,公元新村 2室1厅 南,3600,0,2室1厅1卫
145㎡,朝南,浦东,明天华城 3室2厅 南,4500,0,3室2厅2卫
112㎡,朝南,浦东,日月光水岸花园(一期) 2室2厅 南,8500,1022,2室2厅2卫
85㎡,朝东南,浦东,博山小区 2室1厅 东南,6300,861,2室1厅1卫
55㎡,朝南,浦东,梅园五街坊 2室1厅 南,5800,335,2室1厅1卫
93㎡,朝南,青浦,民乐佳苑 2室2厅 南,2600,105,2室2厅1卫
320㎡,朝西南,浦东,万科蓝山 5室3厅 西南,21000,11,5室3厅4卫
122㎡,朝南,松江,九城湖滨国际 3室2厅 南,7500,0,3室2厅2卫
31㎡,朝南,浦东,崂山新村 1室0厅 南,5000,46,1室0厅1卫
269㎡,朝南,浦东,墅外金柳湾 4室2厅 南,15000,0,4室2厅3卫
115㎡,朝南,浦东,联洋新苑 2室2厅 南,11000,854,2室2厅2卫
157㎡,朝南,浦东,金露苑 3室2厅 南,13000,291,3室2厅2卫
113㎡,朝南,浦东,天台星城 3室2厅 南/北,4500,0,3室2厅1卫
41㎡,朝南,浦东,微山新村 1室1厅 南,4800,327,1室1厅1卫
1091㎡,朝南,浦东,整租·合生东郊别墅(一期) 6室3厅 南/北,150000,0,6室3厅5卫
93㎡,朝南,浦东,胡姬花园 2室2厅 南,9000,711,2室2厅1卫
114㎡,朝南,浦东,中星长岛苑 3室1厅 南,9000,802,3室1厅1卫
33㎡,朝南,浦东,东园四村 1室0厅 南,4500,224,1室0厅1卫
79㎡,朝南,浦东,伟业金锦苑三村 2室1厅 南,5200,466,2室1厅1卫
481㎡,朝南,浦东,整租·东郊花园 4室2厅 南,55000,0,4室2厅4卫
134㎡,朝南,浦东,上海未来 3室2厅 南,12000,353,3室2厅2卫
261㎡,朝南,浦东,布鲁斯小镇(一期)(别墅) 3室3厅 南/北,5500,0,3室3厅3卫
134㎡,朝南,浦东,整租·名门滨江苑 2室2厅 南,11500,1175,2室2厅1卫
168㎡,朝东南,浦东,整租·环球广场 3室2厅 东南,15000,0,3室2厅1卫
67㎡,朝南,浦东,整租·开发浦东 2室1厅 南,9000,637,2室1厅1卫
97㎡,朝南,浦东,整租·金色碧云 2室2厅 南,12000,751,2室2厅1卫
81㎡,朝南,浦东,朱家滩小区 3室1厅 南,9500,659,3室1厅1卫
154㎡,朝南,浦东,碧云新天地(三期) 3室2厅 南,13000,715,3室2厅2卫
84㎡,朝南,浦东,整租·欧高路138弄 3室1厅 南,4200,593,3室1厅1卫
95㎡,朝南,浦东,弘扬雅苑 2室2厅 南,7800,1078,2室2厅1卫
75㎡,朝南,浦东,整租·绿洲康城亲水湾(中央区) 2室1厅 南,6000,729,2室1厅1卫
53㎡,朝南,浦东,艾南小区 2室1厅 南,4300,0,2室1厅1卫
121㎡,朝南,浦东,整租·维多利华庭 3室1厅 南,10000,740,3室1厅1卫
86㎡,朝南,浦东,整租·龚路新城 3室1厅 南/北,4000,0,3室1厅1卫
58㎡,朝南,浦东,梅园四街坊 2室1厅 南,8600,218,2室1厅1卫
140㎡,朝南,浦东,整租·碧云东壹栋 3室2厅 南,9800,376,3室2厅2卫
79㎡,朝南,浦东,花木鑫丰苑 2室1厅 南,7800,247,2室1厅1卫
96㎡,朝南,浦东,信和花园 2室2厅 南,14000,0,2室2厅1卫
98㎡,朝南,浦东,蝶恋园 2室2厅 南,7200,1123,2室2厅1卫
32㎡,朝南,浦东,牡丹小区(浦东) 1室1厅 南,5500,349,1室1厅1卫
213㎡,朝南,浦东,整租·万科翡翠滨江(一期) 4室2厅 南,31000,0,4室2厅3卫
39㎡,朝南,浦东,潍坊四村 1室1厅 南,5000,359,1室1厅1卫
107㎡,朝南,浦东,浦江映象 2室2厅 南,11500,591,2室2厅2卫
83㎡,朝南,浦东,凤凰大厦 2室1厅 南,9800,949,2室1厅1卫
90㎡,朝南,浦东,旭辉亚瑟郡 2室2厅 南,7000,0,2室2厅1卫
30㎡,朝南,浦东,大桥花苑 1室0厅 南,3500,0,1室0厅1卫
244㎡,朝南,浦东,城中花园 4室2厅 南,13000,0,4室2厅3卫
119㎡,朝南,浦东,整租·东方城市花园(二期) 2室2厅 南,10000,398,2室2厅2卫
42㎡,朝南,浦东,栖山小区 2室1厅 南,6500,460,2室1厅1卫
89㎡,朝南,浦东,前滩东方逸品 2室2厅 南/北,14000,502,2室2厅1卫
100㎡,朝南,浦东,第九城市(一期) 2室2厅 南,13000,0,2室2厅1卫
149㎡,朝南,浦东,陆家嘴中央公寓 3室2厅 南/北,23000,433,3室2厅2卫
160㎡,朝南,浦东,整租·东方城市花园(一期) 3室1厅 南,14000,70,3室1厅2卫
152㎡,朝南,浦东,联洋花园(三期) 3室2厅 南,17000,575,3室2厅2卫
40㎡,朝南,浦东,潍坊六村 1室1厅 南,5000,673,1室1厅1卫
91㎡,朝南,浦东,逸翠公馆 2室1厅 南/北,12000,996,2室1厅1卫
72㎡,朝南,浦东,中新家园 2室2厅 南,7500,619,2室2厅1卫
58㎡,朝南,浦东,绿地东海岸时尚广场 2室1厅 南,3800,0,2室1厅2卫
150㎡,朝南,浦东,整租·阳光城丽景湾 3室2厅 南,16000,0,3室2厅3卫
109㎡,朝南,浦东,爱家华城东区 2室1厅 南,3500,0,2室1厅1卫
55㎡,朝南,浦东,恒大华城新华苑 1室1厅 南,4500,1142,1室1厅1卫
29㎡,朝南,浦东,微山二村 1室0厅 南,4400,576,1室0厅1卫
65㎡,朝南,浦东,杨园四村 2室1厅 南/北,3000,0,2室1厅1卫
119㎡,朝南,浦东,爵士大厦 2室2厅 南,10000,473,2室2厅2卫
80㎡,朝南,浦东,杨园三村 3室1厅 南,4000,0,3室1厅1卫
83㎡,朝南,浦东,大华锦绣华城(四街区) 2室2厅 南,7300,297,2室2厅1卫
312㎡,朝南,浦东,蓝堡别墅 6室3厅 南,16000,0,6室3厅5卫
62㎡,朝南,浦东,金光小区 2室1厅 南/北,5400,218,2室1厅1卫
131㎡,朝西北,浦东,整租·世茂滨江花园 2室2厅 西北,21000,974,2室2厅2卫
43㎡,朝南,浦东,荣成小区 2室1厅 南/北,7000,101,2室1厅1卫
97㎡,朝南,浦东,航欣苑 2室2厅 南,4000,0,2室2厅1卫
81㎡,朝南,浦东,南泉大楼 2室1厅 南,8900,620,2室1厅1卫
87㎡,朝西,浦东,整租·金地未未来 3室2厅 西,6700,357,3室2厅1卫
110㎡,朝南,浦东,康馨苑 2室2厅 南,4400,0,2室2厅1卫
89㎡,朝南,浦东,华发四季 3室2厅 南,7000,928,3室2厅1卫
67㎡,朝南,浦东,新里城和合苑 2室2厅 南/北,5300,1132,2室2厅1卫
127㎡,朝南,浦东,整租·上海绿城 3室2厅 南/北,12000,0,3室2厅1卫
61㎡,朝南,浦东,绿洲康城亲水湾(中央区) 1室1厅 南,5200,729,1室1厅1卫
85㎡,朝南,浦东,明天华城 2室1厅 南,3900,0,2室1厅1卫
38㎡,朝南,浦东,潍坊三村 1室0厅 南,5200,883,1室0厅1卫
60㎡,朝南,浦东,整租·海三小区 2室1厅 南,5600,0,2室1厅1卫
103㎡,朝南,浦东,旭辉亚瑟郡 3室2厅 南,9500,0,3室2厅1卫
59㎡,朝西,浦东,前滩东方逸品 1室1厅 西,8000,502,1室1厅1卫
140㎡,朝南,浦东,嘉德公寓 3室2厅 南/北,10000,807,3室2厅2卫
79㎡,朝南,浦东,锦绣河山 2室1厅 南,6200,520,2室1厅1卫
96㎡,朝南,浦东,环球翡翠湾花园(公寓) 2室2厅 南,6800,543,2室2厅1卫
77㎡,朝南,浦东,康林公寓 3室1厅 南,4200,0,3室1厅1卫
28㎡,朝南,浦东,潍坊二村 1室1厅 南,4800,720,1室1厅1卫
48㎡,朝南,浦东,梅园三街坊 2室1厅 南,6700,539,2室1厅1卫
76㎡,朝南,浦东,峨海小区 3室1厅 南,8000,432,3室1厅1卫
83㎡,朝南,浦东,瑞和路935弄 2室2厅 南,4500,0,2室2厅1卫
88㎡,朝南,浦东,世茂滨江花园 1室2厅 南,15800,974,1室2厅1卫
55㎡,朝南,浦东,乳山三村 2室1厅 南,7500,292,2室1厅1卫
35㎡,朝南,浦东,整租·潍坊九村 1室1厅 南,5600,62,1室1厅1卫
70㎡,朝南,松江,新城上坤樾山明月 2室1厅 南,4200,0,2室1厅1卫
55㎡,朝南,松江,同润菲诗艾伦 1室1厅 南,3200,0,1室1厅1卫
250㎡,朝南,浦东,整租·美林别墅 4室3厅 南/北,33000,604,4室3厅3卫
121㎡,朝南,松江,龙祥公寓 2室2厅 南,4500,0,2室2厅1卫
102㎡,朝南,松江,雅仕居(公寓) 2室2厅 南/北,4200,0,2室2厅1卫
197㎡,朝南,松江,复地翠堤苑(别墅) 4室2厅 南,6500,0,4室2厅3卫
83㎡,朝南,松江,上海诗林(公寓) 2室1厅 南,4500,0,2室1厅1卫
189㎡,朝南,松江,万科白马花园(别墅) 4室2厅 南,14000,0,4室2厅4卫
208㎡,朝南,松江,整租·阳光花园 4室2厅 南/北,6000,0,4室2厅4卫
103㎡,朝南,松江,世纪新城 2室2厅 南,4600,0,2室2厅1卫
118㎡,朝南,松江,华亭荣园 3室2厅 南,5000,0,3室2厅2卫
110㎡,朝南,松江,上坤旭辉墅 3室2厅 南,5500,0,3室2厅3卫
196㎡,朝南,松江,丽水华庭 5室2厅 南,7000,0,5室2厅3卫
98㎡,朝南,松江,整租·佘北家园惠泽苑 3室1厅 南,2500,0,3室1厅1卫
98㎡,朝南,松江,西新苑 2室1厅 南,3800,763,2室1厅1卫
125㎡,朝南,松江,英伦风尚(公寓) 3室2厅 南/北,6500,0,3室2厅2卫
81㎡,朝南,松江,万业梦立方 3室2厅 南,5000,956,3室2厅1卫
83㎡,朝西南,松江,整租·紫薇茗庭 3室1厅 西南,2300,1077,3室1厅1卫
93㎡,朝南,松江,国贸天悦佘山 3室2厅 南,6000,304,3室2厅1卫
86㎡,朝南,松江,万科梦想派 3室2厅 南/北,6000,0,3室2厅1卫
360㎡,朝南,松江,绿洲比华利花园 4室3厅 南,20000,0,4室3厅4卫
101㎡,朝南,松江,金丰蓝庭 2室2厅 南,5500,0,2室2厅1卫
89㎡,朝南,松江,万科云间传奇 3室1厅 南/北,4700,0,3室1厅1卫
83㎡,朝南,松江,木鱼弄小区 2室2厅 南,3500,651,2室2厅1卫
65㎡,朝南,松江,古楼新苑 2室1厅 南,3100,0,2室1厅1卫
89㎡,朝南,松江,同润菲诗艾伦 3室2厅 南,5000,0,3室2厅1卫
267㎡,朝南,松江,誉品原墅 5室2厅 南/北,12800,549,5室2厅4卫
89㎡,朝南,松江,同润菲诗艾伦 2室2厅 南,4000,0,2室2厅1卫
93㎡,朝南,松江,象屿欣苑 3室2厅 南,5000,0,3室2厅1卫
198㎡,朝南,松江,整租·久阳文华府邸(别墅) 5室2厅 南/北,15000,0,5室2厅3卫
89㎡,朝南,松江,同润菲诗艾伦 2室2厅 南,4800,0,2室2厅1卫
151㎡,朝南,浦东,仁恒河滨城(二期) 3室2厅 南,22000,0,3室2厅2卫
41㎡,朝南,浦东,双桥小区 1室1厅 南,4700,766,1室1厅1卫
66㎡,朝南,浦东,整租·学前一村 2室1厅 南,4500,187,2室1厅1卫
110㎡,朝南,浦东,瑞达苑 3室2厅 南,9500,896,3室2厅2卫
93㎡,朝南,浦东,大华斐勒公园 2室2厅 南/北,15000,148,2室2厅1卫
64㎡,朝南,松江,人乐一村 3室1厅 南,3400,738,3室1厅1卫
72㎡,朝南,浦东,六里嘉园 2室2厅 南/北,5500,0,2室2厅1卫
86㎡,朝南,浦东,整租·天环苑 2室2厅 南,2600,0,2室2厅1卫
145㎡,朝南,浦东,汤臣豪园(二期) 3室2厅 南,12000,780,3室2厅3卫
119㎡,朝南,浦东,整租·天和湖滨家园(公寓) 3室2厅 南,5800,0,3室2厅2卫
84㎡,朝南,浦东,鹏丰苑 2室2厅 南,5800,641,2室2厅1卫
121㎡,朝南,浦东,汇锦城三期 3室2厅 南/北,2700,0,3室2厅2卫
76㎡,朝南,浦东,品翠苑 2室2厅 南,5500,0,2室2厅1卫
89㎡,朝南,浦东,中邦大都会 2室2厅 南,8500,0,2室2厅1卫
87㎡,朝南,浦东,云帆雅苑 2室2厅 南,1400,0,2室2厅1卫
109㎡,朝南,浦东,东方城市花园(二期) 2室2厅 南,9100,398,2室2厅1卫
179㎡,朝南,浦东,整租·布鲁斯小镇(一期)(别墅) 4室2厅 南,2200,0,4室2厅3卫
86㎡,朝南,浦东,盛世年华 2室2厅 南,11500,613,2室2厅1卫
39㎡,朝南,浦东,整租·雪野二村 1室1厅 南,4500,73,1室1厅1卫
90㎡,朝南,浦东,整租·锦绣华都 2室2厅 南,5500,1029,2室2厅1卫
102㎡,朝南,浦东,金星小区 3室1厅 南/北,4500,812,3室1厅1卫
96㎡,朝南,浦东,东城花苑一村 2室2厅 南,2700,412,2室2厅1卫
44㎡,朝南,浦东,整租·潼港二村 1室1厅 南,3000,0,1室1厅1卫
90㎡,朝南,浦东,中芯花园(公寓) 2室2厅 南,7000,949,2室2厅1卫
70㎡,朝南,浦东,整租·金田花园 2室1厅 南,3200,0,2室1厅1卫
100㎡,朝南,浦东,金茂花园 2室2厅 南,5800,0,2室2厅1卫
78㎡,朝南,浦东,芳华小区 2室1厅 南,5600,571,2室1厅1卫
70㎡,朝南,浦东,罗山六村 2室1厅 南,6200,306,2室1厅1卫
115㎡,朝南,浦东,上海绿城 2室2厅 南,12000,0,2室2厅2卫
116㎡,朝向暂无,浦东,城南东路154弄 2室2厅,1800,0,2室2厅1卫
84㎡,朝东北,浦东,仁恒滨江园 2室1厅 东北,17000,631,2室1厅1卫
40㎡,朝南,浦东,东昌新村 1室1厅 南,5500,81,1室1厅1卫
176㎡,朝南,宝山,正荣国领(公寓) 4室2厅 南,8500,0,4室2厅3卫
40㎡,朝南,宝山,远洋7号酒店式公寓 1室1厅 南,2700,430,1室1厅1卫
20㎡,朝南,宝山,景瑞遇道 1室0厅 南,3000,607,1室0厅1卫
36㎡,朝南,宝山,龙湖北城天街 1室1厅 南,2800,198,1室1厅1卫
44㎡,朝南,宝山,逸仙路1321弄 1室1厅 南,3800,856,1室1厅1卫
45㎡,朝南,宝山,绿地公园广场 1室1厅 南,2600,0,1室1厅1卫
52㎡,朝北,宝山,卓越时代广场 1室1厅 北,4200,372,1室1厅1卫
120㎡,朝南,宝山,美罗家园年吉苑 3室2厅 南,3500,0,3室2厅1卫
89㎡,朝南,宝山,万科琥珀郡园 3室2厅 南,4500,666,3室2厅1卫
81㎡,朝南,宝山,美罗家园金丰苑 3室2厅 南,2800,707,3室2厅1卫
55㎡,朝南,宝山,密山二村 2室1厅 南,3600,1021,2室1厅1卫
94㎡,朝南,宝山,三湘海尚城(公寓) 2室2厅 南/北,5500,0,2室2厅1卫
53㎡,朝南,宝山,东华苑 1室1厅 南,4000,954,1室1厅1卫
44㎡,朝北,宝山,龙湖北城天街 3室1厅 北,4500,198,3室1厅2卫
53㎡,朝南,宝山,东沪园 1室1厅 南,2200,0,1室1厅1卫
80㎡,朝南,宝山,卓越时代广场 2室1厅 南,6000,372,2室1厅1卫
223㎡,朝南,宝山,保利叶上海(别墅) 4室3厅 南,9000,0,4室3厅3卫
56㎡,朝南,宝山,绿地海越 2室1厅 南,3000,0,2室1厅1卫
53㎡,朝南,宝山,绿地即客LOFT 2室1厅 南/北,6500,48,2室1厅1卫
48㎡,朝南,宝山,北华苑 1室1厅 南,4500,739,1室1厅1卫
82㎡,朝南,宝山,聚丰景都 2室2厅 南/北,4000,0,2室2厅1卫
115㎡,朝南,宝山,中环国际公寓(三期) 3室1厅 南,4500,0,3室1厅1卫
65㎡,朝南,宝山,宝林八村 2室1厅 南,3500,0,2室1厅1卫
48㎡,朝西,宝山,金地艺境(商业类) 1室1厅 西,1900,0,1室1厅1卫
63㎡,朝南,宝山,三花现代城(二期香梅苑) 1室1厅 南,4700,1177,1室1厅1卫
64㎡,朝南,宝山,南大路180弄 2室1厅 南,4000,0,2室1厅1卫
57㎡,朝南,宝山,新顾村大家园C区 1室1厅 南,3300,0,1室1厅1卫
40㎡,朝南,宝山,悦尚华都 1室1厅 南/北,4500,371,1室1厅1卫
37㎡,朝西,宝山,龙湖北城天街 1室1厅 西,2600,198,1室1厅1卫
62㎡,朝南,宝山,德都路165弄 2室1厅 南,2900,0,2室1厅1卫
132㎡,朝南,宝山,绿地公元1860 4室2厅 南,6000,0,4室2厅2卫
